customer_id,customer_first_name,customer_last_name,email_address,phone_number,shipping_address,shipping_city,shipping_state,postal_code,registration_date,is_premium_member
1,Krish,Ahluwalia,ysuresh@example.net,+917106519729,"18, Doshi Street",Nadiad,Andhra Pradesh,794869,2024-07-02,True
2,Jagvi,Borra,dayita99@example.net,,"H.No. 72
Choudhary",Nellore,Andhra Pradesh,447769,2024-08-04,True
3,Tripti,Malhotra,chandran45@example.com,,"978
Bhandari Chowk",Faridabad,Andhra Pradesh,244011,2023-06-15,False
4,Urvi,Saxena,fghose@example.net,+913376939204,"646
Khare Street",South Dumdum,Karnataka,929014,2024-05-24,True
5,Yochana,Singhal,tatarishi@example.com,,"48/02, Purohit Circle",Mysore,Odisha,022009,2023-09-01,True
6,Pushti,Lata,kavyaraja@example.com,,"610, Gaba",Raiganj,Rajasthan,167899,2024-01-30,True
7,Oni,Sodhi,ishanidevan@example.org,06017263059,"48/228
Mishra Zila",Bhind,Kerala,963428,2024-06-21,False
8,Harita,Sharma,jainbishakha@example.net,+912892020628,"73/433, Raj Zila",Danapur,Karnataka,872704,2024-08-01,True
9,Lekha,Andra,hhayer@example.net,,"236
Garg Chowk",Gangtok,Haryana,135481,2024-10-07,False
10,Hiral,Maharaj,gautamidyal@example.org,,"97, Tank Marg",Karaikudi,Maharashtra,034522,2024-11-06,True
11,Adweta,Loyal,xparikh@example.com,+914760776641,"61, Apte Street",Satara,Punjab,076013,2023-10-05,False
12,Meera,Shroff,meera97@example.org,,"33
Ben",Karimnagar,Karnataka,017048,2023-03-06,False
13,Gaurika,Basu,gaurav85@example.com,05026776754,"777, Uppal Road",Jalna,Tripura,136234,2022-11-07,True
14,Kai,Sani,esarma@example.org,+911011974627,"H.No. 220, Chander Circle",Bulandshahr,Uttarakhand,764623,2024-11-17,True
15,Kalpit,Jha,liamsingh@example.com,04792056953,"16/761, Ravel Road",Jabalpur,Haryana,241177,2025-03-07,False
16,Jeevika,Pandey,bbajaj@example.net,5003611734,"H.No. 059
Mannan Ganj",Hajipur,Mizoram,283300,2023-04-03,False
17,Parth,Chander,ysabharwal@example.com,5478422916,"36
Bhatia",Thoothukudi,Meghalaya,835733,2022-11-20,False
18,Deepa,Morar,nachiketvarkey@example.org,+918288378946,"93
Dhar Zila",Kochi,Maharashtra,769287,2023-07-13,False
19,Charvi,Mitra,tpalan@example.net,+916316669085,"H.No. 520, Chaudhuri Nagar",Gandhinagar,Punjab,850599,2024-09-03,False
20,Hema,Palla,baralmatthew@example.net,,"H.No. 942
Lata Marg",Madanapalle,Himachal Pradesh,050738,2025-01-07,False
21,Tamanna,Narasimhan,darpanmangat@example.org,,"00/20, Banerjee Street",Silchar,Gujarat,358629,2022-12-01,True
